date,site,starttime,endtime,soilmoist1,soilmoist5,starttemp,startlum,startwind-min,startwind-max,startrh-min,startrh-max,endtemp,endlum,endwind-min,endwind-max,endrh-min,endrh-max,round,notes
6/14/2021,Stupid Falls,10:10,11:14,6.5,9.1,24.9,,0,2.2,13.8,23.3,27.7,,0.1,2.6,1.1,10.4,1,Soil moisture taken 6/17/21
6/14/2021,Stupid Falls,12:11,12:50,6.5,9.1,28.2,,0,6.7,0,12.7,40,,0,1.4,3.6,8.3,2,Soil moisture taken 6/17/21
6/14/2021,Stupid Falls,14:00,14:36,6.5,9.1,30.4,,0,1.5,3.6,8.3,27.8,,0,4,7,11.6,3,Soil moisture taken 6/17/21
6/15/2021,Avery Picnic,10:20,11:24,10.7,8.7,19.3,,0,2.5,20.5,26.4,21.1,,0,3.3,8,16,,Soil moisture taken 6/19/21
6/15/2021,Coal Creek,14:18,14:35,5.9,5,,,,,,,,,,,,,,
6/15/2021,Lake Irwin,13:31,13:58,15.2,8.8,,,,,,,,,,,,,,
6/15/2021,Ohio Pass High,12:14,13:00,7,8.6,,,,,,,,,,,,,,
6/15/2021,Ohio Pass Low,10:58,11:23,9,10.1,,,,,,,,,,,,,,
6/16/2021,Kebler Pass,10:15,10:41,27.9,23.4,27,,0,2.1,8.2,11.32,29,,0.1,3.1,7.6,13.6,1,Temp seems wrong; soil moisture taken 6/19/21
6/16/2021,Kebler Pass,12:00,12:30,27.9,23.4,27.4,,0,1.3,9.8,14.8,27.4,,0,3.3,7.1,12.1,2,Soil moisture taken 6/19/21
6/16/2021,Kebler Pass,14:00,14:25,27.9,23.4,27.5,,0,0.4,12.5,16.5,27.8,,0,2.1,11,13.6,3,Soil moisture taken 6/19/21
6/17/2021,403 Bench,10:35,10:55,11.7,7.2,,,0,2,15.6,22,,,0,2.1,13.9,22.8,,
6/17/2021,Gothic Town,13:01,13:50,11.7,8.4,,,0,1.7,6.2,17.8,,,0,1.7,9.6,17.6,,
6/17/2021,Brush Creek Hill,10:05,10:40,4.8,5.6,,,0,0,22.8,31.7,,,0,1,10.5,29.6,1,Soil moisture taken 6/19/21
6/17/2021,Brush Creek Hill,12:00,12:35,4.8,5.6,,,0,0.8,7.6,15.9,,,1,1.8,4.1,9.9,2,Soil moisture taken 6/19/21
6/17/2021,Brush Creek Hill,14:33,15:02,4.8,5.6,,,0,1.6,7.1,10.7,,,0.3,1.4,5.4,7.3,3,Soil moisture taken 6/19/21
6/17/2021,Brush Creek Trail,13:41,14:20,22.5,12.8,,,0.4,3.8,9.2,19.5,,,0,2,3.4,7.9,,Soil moisture taken 6/19/21
6/18/2021,Pfeiler,10:20,10:35,9,9.2,,,0,0.7,19.4,26.5,,,0,1.3,13.7,26.7,,
6/18/2021,Wash 3C,11:23,11:44,6.4,6.5,,,0,2,10.4,22.4,,,0,1.1,10.1,18.9,,
6/18/2021,Meridian,12:39,13:00,8.5,8,,,0,3.7,13,22.7,,,0,3,3,15.1,,
6/21/2021,Rustlers Gulch,10:00,10:34,10.8,6.5,,,1.3,5.6,18.1,22.6,,,2,6,16,21.5,1,
6/21/2021,Rustlers Gulch,12:00,12:31,10.8,6.5,,,0.7,8,5.2,13,,,1,3.8,7.1,12.9,2,
6/21/2021,Rustlers Gulch,14:00,14:20,10.8,6.5,,,0.9,5.9,3.2,12.9,,,4.1,14.7,0,6.9,3,
6/21/2021,Stupid Falls,10:00,10:26,,,,,2.3,6.6,18.3,25.1,,,1,3.6,15.6,22,1,
6/21/2021,Stupid Falls,11:59,12:36,,,,,1.6,5.2,11.4,17.3,,,0.8,7.4,11,17.3,2,
6/21/2021,Stupid Falls,13:59,14:28,,,,,2,6.3,9,16.9,,,0,2.1,6.4,21.2,3,
6/22/2021,Avery Picnic,10:15,12:05,6.6,9.1,,,0,0.6,6.6,12.4,,,0,2.6,14.5,19.7,,Soil moisture taken 6/22
6/23/2021,Virginia Basin,,,10.5,11,,,,,,,,,,,,,,
6/22/2021,Coal Creek,11:01,11:30,4.8,4.8,,,0.4,4.1,5.8,9.8,,,0.6,4.5,7.3,11,,
6/22/2021,Ohio Pass High,13:11,13:35,9.3,6.9,,,0,3.9,9.1,13,,,0,1.7,11.5,15.2,,
6/22/2021,Lake Irwin,12:00,12:35,11.1,11.5,,,1,4.7,5.9,7.7,,,0,3.3,7.6,13.5,,
6/23/2021,Kebler Pass,10:22,11:00,23.6,23.3,,,0.4,1.9,18.4,18.9,,,0,1.2,17.3,20.1,,Soil moisture taken 6/22
6/23/2021,Ohio Pass Low,12:15,12:45,,,,,1.3,4.1,18.3,24,,,0,1.2,1.3,6.4,,
6/23/2021,Brush Creek Trail,14:15,15:02,,,,,0.8,3.2,10.4,19.4,,,0,3.7,18.5,21.3,,
6/24/2021,Gothic Town,10:20,11:36,6.7,14.7,,,,,,,,,0,0.5,23.9,31.8,,"stopped at 11:20 because of rain, started again at 11:28"
6/24/2021,403 Bench,10:15,10:35,10.2,7.3,,,0,1.3,27.5,33.4,,,0,1.5,27,38.3,,
6/24/2021,Brush Creek Hill,10:10,10:41,7.5,7.3,,,0,2,37.2,45.6,,,0,3.6,28.9,39,1,
6/24/2021,Brush Creek Hill,12:00,12:30,7.5,7.3,,,0,1.8,19.7,29.7,,,0,1.7,25.6,30.2,2,
6/25/2021,Wash 3C,11:25,11:47,16.4,14.3,,,0.5,3.1,24.2,29.9,,,0,2,26.9,36.4,,
6/25/2021,Pfeiler,12:14,12:35,14.1,21.2,,,0,2.3,27,38.6,,,0,1.1,27.2,32.2,,
6/25/2021,Meridian,10:24,10:50,18,17.5,,,0,1.2,37.9,45.6,,,0,1.2,28.9,38.8,,
6/28/2021,Virginia Basin,10:40,11:27,12.7,14.3,,,0,0.8,30.9,38.7,,,0.5,3.3,34.7,40.7,,
6/28/2021,Lake Irwin,10:25,10:46,27.8,18.7,,,0,1.3,22.2,27.6,,,0,1.3,21.2,36,,
6/28/2021,Ohio Pass High,11:06,11:30,12.3,15.9,,,0,2.9,25.2,40,,,0,1.6,13.3,24.7,,
6/28/2021,Ohio Pass Low,11:51,12:13,13.8,21.9,,,0.8,1.8,22.2,32.4,,,0,2.1,11.5,19.1,,
6/29/2021,Stupid Falls,13:55,14:10,11.6,13.7,,,0,0.5,9.4,14.5,,,0,1.1,24.5,31.3,3,soil moisture taken 6/30
6/29/2021,Stupid Falls,10:30,10:50,11.6,13.7,,,0,0,32.2,39.1,,,0,1.4,34.7,42.8,1,
